Região,UF,IBGE,Município,População,Domicílios com a TRIA aplicada,Domicílios em risco de insegurança alimentar,% Domicílios em risco de insegurança alimentar,Pessoas em domicílios em risco de insegurança alimentar,Domicílios em risco de insegurança alimentar com pessoas com deficiência ,% de domicílios em risco de insegurança alimentar com pessoas com deficiência ,Domicílios em risco de insegurança alimentar com pessoas em situação de rua,% de domicílios em risco de insegurança alimentar com pessoas em situação de rua,Domicílios em risco de insegurança alimentar com pessoas de povo ou comunidade tradicional,% de domicílios em risco de insegurança alimentar com pessoas de povo ou comunidade tradicional,Domicílios em risco de insegurança alimentar com pessoas menores de 18 anos,% de domicílios em risco de insegurança alimentar com pessoas menores de 18 anos,Domicílios em risco de insegurança alimentar com RF respondente do sexo feminino,% de domicílios em risco de insegurança alimentar com RF respondente do sexo feminino,Domicílios em risco de insegurança alimentar com RF respondente do sexo masculino,% de domicílios em risco de insegurança alimentar com RF respondente do sexo masculino,Domicílios em risco de insegurança alimentar com RF respondente autodeclarado pardo,% de domicílios em risco de insegurança alimentar com RF respondente autodeclarado pardo,Domicílios em risco de insegurança alimentar com RF respondente autodeclarado branco,% de domicílios em risco de insegurança alimentar com RF respondente autodeclarado branco,Domicílios em risco de insegurança alimentar com RF respondente autodeclarado amarelo,% de domicílios em risco de insegurança alimentar com RF respondente autodeclarado amarelo,Domicílios em risco de insegurança alimentar com RF respondente autodeclarado preto,% de domicílios em risco de insegurança alimentar com RF respondente autodeclarado preto,Domicílios em risco de insegurança alimentar com RF respondente autodeclarado indígena,% de domicílios em risco de insegurança alimentar com RF respondente autodeclarado indígena,Competência
NORTE,RO,110001.0,ALTA FLORESTA D'OESTE,22853.0,4218.0,24.0,0.6,78.0,5.0,20.8,0.0,0.0,1.0,4.2,14.0,58.3,12.0,63.2,7.0,36.8,13.0,68.4,4.0,21.1,1.0,5.3,1.0,5.3,0.0,0.0,nov/2023 a dez/2025
NORTE,RO,110002.0,ARIQUEMES,108573.0,26074.0,42.0,0.2,169.0,10.0,23.8,0.0,0.0,0.0,0.0,34.0,81.0,7.0,63.6,4.0,36.4,5.0,45.5,5.0,45.5,1.0,9.1,0.0,0.0,0.0,0.0,nov/2023 a dez/2025
NORTE,RO,110003.0,CABIXI,5690.0,2359.0,5.0,0.2,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,3.0,75.0,1.0,25.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nov/2023 a dez/2025
NORTE,RO,110004.0,CACOAL,97637.0,12618.0,202.0,1.6,610.0,36.0,17.8,0.0,0.0,2.0,1.0,114.0,56.4,119.0,64.7,65.0,35.3,118.0,64.1,48.0,26.1,10.0,5.4,8.0,4.3,0.0,0.0,nov/2023 a dez/2025
NORTE,RO,110005.0,CEREJEIRAS,16975.0,11078.0,31.0,0.3,104.0,2.0,6.5,0.0,0.0,0.0,0.0,26.0,83.9,15.0,93.8,1.0,6.2,8.0,50.0,4.0,25.0,1.0,6.2,3.0,18.8,0.0,0.0,nov/2023 a dez/2025
NORTE,RO,110006.0,COLORADO DO OESTE,16588.0,3941.0,42.0,1.1,119.0,9.0,21.4,0.0,0.0,0.0,0.0,23.0,54.8,27.0,77.1,8.0,22.9,14.0,40.0,15.0,42.9,2.0,5.7,4.0,11.4,0.0,0.0,nov/2023 a dez/2025
NORTE,RO,110007.0,CORUMBIARA,8001.0,2577.0,17.0,0.7,63.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,88.2,5.0,83.3,1.0,16.7,2.0,33.3,0.0,0.0,2.0,33.3,2.0,33.3,0.0,0.0,nov/2023 a dez/2025
NORTE,RO,110008.0,COSTA MARQUES,13522.0,1445.0,110.0,7.6,382.0,11.0,10.0,0.0,0.0,11.0,10.0,76.0,69.1,56.0,52.8,50.0,47.2,73.0,68.9,23.0,21.7,1.0,0.9,7.0,6.6,2.0,1.9,nov/2023 a dez/2025
NORTE,RO,110009.0,ESPIGAO D'OESTE,32717.0,3447.0,36.0,1.0,132.0,8.0,22.2,0.0,0.0,0.0,0.0,22.0,61.1,21.0,72.4,8.0,27.6,22.0,75.9,6.0,20.7,0.0,0.0,0.0,0.0,1.0,3.5,nov/2023 a dez/2025
NORTE,RO,110010.0,GUAJARA-MIRIM,43553.0,7605.0,402.0,5.3,1434.0,67.0,16.7,1.0,0.2,60.0,14.9,254.0,63.2,223.0,64.3,124.0,35.7,271.0,78.1,49.0,14.1,0.0,0.0,18.0,5.2,9.0,2.6,nov/2023 a dez/2025
NORTE,RO,110011.0,JARU,55583.0,11466.0,400.0,3.5,1266.0,63.0,15.8,0.0,0.0,3.0,0.8,227.0,56.8,280.0,77.6,81.0,22.4,238.0,65.9,77.0,21.3,14.0,3.9,33.0,9.1,0.0,0.0,nov/2023 a dez/2025
NORTE,RO,110012.0,JI-PARANA,139359.0,18313.0,431.0,2.4,1446.0,65.0,15.1,0.0,0.0,3.0,0.7,235.0,54.5,243.0,63.6,139.0,36.4,261.0,68.3,82.0,21.5,11.0,2.9,27.0,7.1,1.0,0.3,nov/2023 a dez/2025
NORTE,RO,110013.0,MACHADINHO D'OESTE,34063.0,8352.0,216.0,2.6,807.0,33.0,15.3,0.0,0.0,4.0,1.9,146.0,67.6,134.0,70.5,56.0,29.5,133.0,70.0,40.0,21.1,1.0,0.5,16.0,8.4,0.0,0.0,nov/2023 a dez/2025
NORTE,RO,110014.0,NOVA BRASILANDIA D'OESTE,16504.0,6561.0,120.0,1.8,363.0,16.0,13.3,0.0,0.0,1.0,0.8,70.0,58.3,93.0,81.6,21.0,18.4,71.0,62.3,34.0,29.8,1.0,0.9,8.0,7.0,0.0,0.0,nov/2023 a dez/2025
